cid,time,compile,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4
56588,304.173,True,23927224,6304720,8390096,6158334,10167248,12252072,5902502,5239760,7324624,5101590,4256720,6342008,4109936,6820816,8905592,6685909,7234512,9319600,7086983
56587,304.006,True,23927224,6304720,8390096,6158341,10167248,12252072,5902656,5239760,7324624,5102255,4256720,6342008,4109652,6820816,8905592,6685911,7234512,9319600,7086985
56586,555.671,True,102977568,27488720,29574608,27343223,29667792,31753128,25401679,21660112,23745488,21523252,20025808,22111608,19878632,30159312,32244600,30024629,32186832,34272432,32038909
56585,251.681,True,17168488,4257232,6341752,4108541,8275408,10359376,4011683,3478992,5562992,3343285,3319248,5403680,3172804,4670928,6754840,4535981,4982224,7066456,4837080
56584,248.33,True,17168488,4257232,6341752,4108547,8275408,10359376,4011747,3478992,5562992,3343624,3319248,5403680,3172516,4670928,6754840,4535983,4982224,7066456,4837081
56583,452.347,True,21689936,5400016,7484880,5253526,9356752,11441064,5092140,4453840,6538192,4315437,4216272,6301048,4067764,5940688,8024952,5805315,6342096,8426672,6192792
56582,413.442,True,66137136,20873168,22959576,20726837,23838672,25924520,19574387,16662480,18748368,16526476,14049232,16135544,13903500,22790096,24875896,22655908,24432592,26518704,24285171
56581,411.092,True,66137136,20873168,22959576,20726834,23838672,25924520,19574368,16662480,18748368,16526899,14053328,16139640,13906136,22790096,24875896,22655907,24432592,26518704,24285171
56580,474.77,True,41327824,10183632,12268664,10036249,13599696,15684176,9336067,8143824,10228336,8007002,6996944,9081888,6852604,11178960,13263384,11045039,11932624,14017368,11789748
56579,366.715,True,92660280,17069008,19155832,16856723,20894672,22980944,16563981,13366224,15452528,13164842,11850704,13937432,11641588,19715024,21801240,19517455,21525456,23611992,21316547
56578,364.735,True,92660280,17069008,19155832,16856724,20894672,22980944,16564628,13366224,15452528,13165870,11842512,13929240,11631384,19715024,21801240,19517456,21525456,23611992,21316548
56577,589.75,True,44233768,7885776,9970808,7740782,11539408,13623888,7274146,6366160,8450672,6228979,5501904,7586848,5355976,8623056,10707480,8488082,9171920,11256664,9025484
56576,706.787,True,41679248,7804368,9889232,7656081,11580880,13665192,7312683,6395344,8479696,6258890,6063568,8148344,5914604,8484304,10568568,8348824,8988112,11072688,8839340
56575,721.356,True,41679248,7804368,9889232,7656084,11576784,13661096,7312160,6395344,8479696,6259164,6063568,8148344,5915388,8484304,10568568,8348825,8988112,11072688,8839341
56574,1405.85,True,31564128,8216528,10302592,8071917,12025808,14111312,7761663,6668240,8753776,6535011,6270928,8356896,6126076,9007056,11092504,8873895,9592784,11678552,9450255
56573,496.77,True,67572920,8823760,10908792,8676859,12399568,14484048,8137918,7074768,9159280,6940463,6075344,8160288,5931008,9618384,11702808,9486743,10224592,12309336,10079283
56572,434.61,True,20568040,3358672,5444728,3215369,7385040,9470544,3121847,2764752,4850288,2629237,2641872,4727840,2499476,3698640,5784088,3567497,3932112,6017880,3787666
56571,429.398,True,51873416,8307664,10394440,8105260,12358608,14444832,8037046,6636496,8722752,6445842,5235664,7322352,5036868,9536464,11622632,9348962,10400720,12487208,10198380
56570,416.229,True,51873416,8307664,10394440,8105256,12358608,14444832,8036999,6636496,8722752,6444877,5235664,7322352,5036352,9536464,11622632,9348962,10400720,12487208,10198379
56569,410.221,True,357182912,11138512,13223376,10991659,14935504,17019816,10670711,9082320,11166672,8944556,8558032,10642808,8412156,12182992,14267256,12047548,12940752,15025328,12792353
56568,362.161,True,123305688,11658704,13743224,11510867,15439312,17523280,11176487,9627088,11711088,9492871,8017360,10101792,7874976,12727760,14811672,12595568,13559248,15643480,13412005
56567,361.798,True,123304088,11654608,13739128,11509961,15439312,17523280,11174921,9627088,11711088,9492557,8021456,10105888,7877352,12727760,14811672,12593606,13555152,15639384,13410229
56566,255.677,True,12769864,2728912,4813944,2581634,6808528,8893008,2545502,2278352,4362864,2145398,2175952,4260896,2030560,2970576,5055000,2839805,3179472,5264216,3031896
56565,139.925,True,20205704,4579792,6665336,4432566,8581584,10666576,4318493,3805648,5890672,3668964,3613136,5698592,3467864,4989392,7074328,4854292,5296592,7381848,5150154
56564,139.764,True,20205704,4579792,6665336,4432566,8581584,10666576,4318454,3805648,5890672,3668449,3613136,5698592,3468848,4989392,7074328,4854296,5296592,7381848,5150156
56563,485.929,True,59988808,7291344,9378632,7089310,11452880,13539616,7132370,5902800,7989568,5713270,5485008,7572208,5283204,8208848,10295528,8020237,8876496,10963496,8673283
56562,702.053,True,70792456,12682800,14770776,12464057,16688688,18776112,12349439,9885232,11972688,9673018,8435248,10523136,8217540,14689840,16777208,14482976,16098864,18186552,15879897
56561,698.864,True,70792456,12682800,14770776,12464045,16688688,18776112,12349974,9881136,11968592,9672335,8443440,10531328,8223384,14689840,16777208,14482981,16098864,18186552,15879897
56560,374.238,True,31034632,7234512,9319896,7085577,10990544,13075368,6722738,5776336,7861200,5637412,5010384,7095672,4866084,7967696,10052472,7831443,8524752,10609840,8377499
56559,385.267,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56558,386.365,False,-1,17605680,19693760,14120401,17605680,19693760,14281032,17605680,19693760,11261311,17605680,19693760,10440284,17605680,19693760,16041686,17605680,19693760,17375705
56557,415.831,True,64725088,14349360,16437728,14120401,18625584,20713400,14281032,11478064,13565920,11261311,10667056,12755336,10440284,16258096,18345864,16041686,17605680,19693760,17375705
56556,321.932,True,44872264,10359760,12445136,10212446,14029776,16114600,9765595,8516560,10601424,8377812,8061904,10147192,7916428,11322320,13407096,11189024,12018640,14103728,11872350
56555,320.227,True,44872264,10359760,12445136,10212447,14029776,16114600,9765680,8512464,10597328,8376758,8061904,10147192,7915964,11322320,13407096,11189024,12018640,14103728,11872349
56554,254.628,True,131945744,5922768,8009168,5773657,9605072,11690920,5338333,4681680,6767568,4544962,4358096,6444408,4213992,6492112,8577912,6356473,6832080,8918192,6686192
56553,339.172,True,60443248,17342416,19428816,17195888,20492240,22578088,16227203,13873104,15958992,13736628,11444176,13530488,11297764,19001296,21087096,18866172,20348880,22434992,20201262
56552,339.751,True,60443248,17342416,19428816,17195889,20492240,22578088,16226809,13873104,15958992,13735598,11448272,13534584,11301280,19001296,21087096,18866174,20348880,22434992,20201266
56551,337.428,True,85634872,20444112,22529488,20298166,22864848,24949672,18600616,15664080,17748944,15526210,14549968,16635256,14403440,22717392,24802168,22583081,24110032,26195120,23964112
56550,193.663,True,185790008,5754832,7841240,5609896,9809872,11895720,5544720,4710352,6796240,4572772,4382672,6468984,4237660,6320080,8405880,6185545,6770640,8856752,6625946
56549,189.778,True,185790008,5754832,7841240,5609894,9809872,11895720,5544485,4706256,6792144,4571922,4382672,6468984,4238756,6320080,8405880,6185545,6770640,8856752,6625945
56548,221.209,True,22694544,5455824,7542232,5309704,9326544,11412392,5061240,4362192,6448080,4226890,3764176,5850488,3618340,5980112,8065912,5845555,6397904,8484016,6253930
56547,308.956,True,93266840,14951888,17036752,14803777,18376144,20460456,14108048,11929040,14013392,11789530,9496016,11580792,9349868,16401872,18486136,16267164,17651152,19735728,17501822
56546,312.042,True,93267888,14951888,17036752,14801503,18372048,20456360,14107399,11924944,14009296,11785731,9483728,11568504,9337624,16401872,18486136,16264986,17647056,19731632,17499814
56545,364.61,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
